dataset_id,title,organization,sector,tags,formats,num_resources,metadata_created,metadata_modified,description,source_url
76a07411-c72c-4b22-9a07-5d5ac9e63c98,Evapotranspiration Uttar Pradesh-2018,"Ministry of Jal Shakti|Department of Water Resources, River Development & Ganga Rejuvenation|National Water Informatics Centre",Water Resources|Surface Water,,,9,2022-01-11,2022-01-11,Evapotranspiration Uttar Pradesh-2018,https://www.data.gov.in/resource/76a07411-c72c-4b22-9a07-5d5ac9e63c98
588e7b7f-f505-4b35-abe7-0ea8cb0b0b60,Evapotranspiration Uttar Pradesh-2019,"Ministry of Jal Shakti|Department of Water Resources, River Development & Ganga Rejuvenation|National Water Informatics Centre",Water Resources|Surface Water,,,9,2022-01-12,2022-01-12,Evapotranspiration Uttar Pradesh-2019,https://www.data.gov.in/resource/588e7b7f-f505-4b35-abe7-0ea8cb0b0b60
c5caab03-4aec-4f0e-87fe-feef45902a06,Evapotranspiration Uttar Pradesh-2020,"Ministry of Jal Shakti|Department of Water Resources, River Development & Ganga Rejuvenation|National Water Informatics Centre",Water Resources|Surface Water,,,9,2022-01-11,2022-01-11,Evapotranspiration Uttar Pradesh-2020,https://www.data.gov.in/resource/c5caab03-4aec-4f0e-87fe-feef45902a06
c12b866d-2f8d-4f15-bd21-11c989cfccdb,Soil Moisture Uttar Pradesh -2018,"Ministry of Jal Shakti|Department of Water Resources, River Development & Ganga Rejuvenation|National Water Informatics Centre",Surface Water,,,9,2022-01-11,2022-01-11,Soil Moisture Uttar Pradesh -2018,https://www.data.gov.in/resource/c12b866d-2f8d-4f15-bd21-11c989cfccdb
20e844f2-d146-43d2-b8b6-a9b1f6e10ca8,Soil Moisture Uttar Pradesh-2020,"Ministry of Jal Shakti|Department of Water Resources, River Development & Ganga Rejuvenation|National Water Informatics Centre",Surface Water,,,9,2022-01-11,2022-01-12,Soil Moisture Uttar Pradesh-2020,https://www.data.gov.in/resource/20e844f2-d146-43d2-b8b6-a9b1f6e10ca8
3c2187bf-3f96-4f0c-9639-0aae9f5ac238,Surface Water Quality Uttar Pradesh 1985-1995,"Ministry of Jal Shakti|Department of Water Resources, River Development &amp|Ganga Rejuvenation|National Water Informatics Centre",Water Resources|Surface Water,,,99,2025-10-10,2025-10-10,Surface Water Quality Uttar Pradesh 1985-1995,https://www.data.gov.in/resource/3c2187bf-3f96-4f0c-9639-0aae9f5ac238
bab12eb5-a51f-4284-bef5-d82e636e1bd3,Surface Water Quality Uttar Pradesh 1974-1984,"Ministry of Jal Shakti|Department of Water Resources, River Development &amp|Ganga Rejuvenation|National Water Informatics Centre",Water Resources|Surface Water,,,99,2025-10-10,2025-10-10,Surface Water Quality Uttar Pradesh 1974-1984,https://www.data.gov.in/resource/bab12eb5-a51f-4284-bef5-d82e636e1bd3
6ee97517-4432-4d58-b5b1-ee4f55c6ae46,Primary Census Abstract 2011 - Uttar Pradesh,"Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator|Statistics,,,100,2019-09-23,2019-09-25,Primary Census Abstract 2011 - Uttar Pradesh,https://www.data.gov.in/resource/6ee97517-4432-4d58-b5b1-ee4f55c6ae46
0be649f7-f897-48d9-9b65-3cfdbe87720b,Surface Water Quality Uttar Pradesh 2007-2021,"Ministry of Jal Shakti|Department of Water Resources, River Development &amp|Ganga Rejuvenation|National Water Informatics Centre",Water Resources|Surface Water,,,99,2025-10-10,2025-10-10,Surface Water Quality Uttar Pradesh 2007-2021,https://www.data.gov.in/resource/0be649f7-f897-48d9-9b65-3cfdbe87720b
5db46842-ef26-4863-b59b-c207a92cdd55,Surface Water Quality Uttar Pradesh 1963-1973,"Ministry of Jal Shakti|Department of Water Resources, River Development &amp|Ganga Rejuvenation|National Water Informatics Centre",Water Resources|Surface Water,,,99,2025-10-10,2025-10-10,Surface Water Quality Uttar Pradesh 1963-1973,https://www.data.gov.in/resource/5db46842-ef26-4863-b59b-c207a92cdd55
fcc76f97-dc7e-4952-87a8-a3ae08718b31,"Population by Mother Tongue, 2011 - Uttar Pradesh","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,18,2020-10-05,2020-10-19,"Population by Mother Tongue, 2011 - Uttar Pradesh",https://www.data.gov.in/resource/fcc76f97-dc7e-4952-87a8-a3ae08718b31
9314665e-c201-4839-85d7-e108e647ae35,Surface Water Quality Uttar Pradesh 1996-2006,"Ministry of Jal Shakti|Department of Water Resources, River Development &amp|Ganga Rejuvenation|National Water Informatics Centre",Water Resources|Surface Water,,,99,2025-10-10,2025-10-10,Surface Water Quality Uttar Pradesh 1996-2006,https://www.data.gov.in/resource/9314665e-c201-4839-85d7-e108e647ae35
